No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
182,BHB,5.31%,13.81%,0.51%,-11.56%,1.94%,-3.98%,4.13%,4.17%,2.00,23.26K,0.61,28.20,1.51%,"7,265"
183,BHF,0.56%,6.01%,-21.97%,-28.41%,2.79%,-19.59%,3.27%,3.74%,2.90,678.01K,0.38,41.76,0.26%,"133,348"
184,BHR,11.16%,3.60%,-13.67%,-7.99%,0.97%,1.57%,4.05%,5.49%,1.80,687.94K,0.44,5.29,2.12%,"157,580"
185,BHVN,0.66%,0.66%,39.65%,19.46%,18.78%,5.91%,0.43%,0.65%,2.00,1.80M,0.30,145.95,-0.00%,"281,978"
186,BIP,-2.12%,-1.91%,-15.23%,-5.65%,4.06%,-7.57%,2.21%,2.29%,2.30,345.49K,0.33,37.77,0.80%,"58,541"
187,BIS,-1.79%,-29.79%,-3.40%,2.81%,25.01%,18.03%,3.52%,4.61%,-,28.41K,7.41,23.43,-1.09%,"108,534"
188,BITE,0.31%,0.61%,0.61%,1.23%,1.76%,1.23%,0.10%,0.13%,-,38.37K,0.01,9.84,0.00%,109
189,BJ,1.34%,17.64%,3.31%,13.35%,44.67%,2.96%,3.57%,3.37%,2.20,2.20M,0.55,69.12,0.25%,"625,791"
190,BKEP,0.22%,1.56%,38.91%,30.76%,44.62%,38.48%,0.47%,0.55%,3.00,346.64K,0.54,4.58,0.22%,"95,569"
191,BKH,1.68%,5.95%,-7.57%,5.85%,9.24%,2.73%,2.11%,2.64%,1.90,398.69K,0.30,71.42,-1.49%,"62,153"
192,BKR,2.66%,-5.59%,-24.61%,2.77%,43.61%,17.29%,3.47%,3.95%,2.00,10.34M,3.00,25.97,-7.97%,"15,975,862"
193,BLDR,4.58%,29.50%,7.52%,-16.92%,61.53%,-23.73%,4.22%,4.34%,1.60,2.92M,0.44,65.68,0.47%,"660,348"
194,BLTS,0.20%,0.51%,-0.40%,0.05%,1.75%,0.20%,0.17%,0.18%,-,81.42K,0.01,9.87,0.00%,324
195,BLU,-2.69%,22.37%,15.18%,49.37%,227.87%,16.89%,6.93%,8.42%,1.80,1.12M,0.56,9.49,0.85%,"324,582"
196,BMO,0.10%,-1.42%,-15.06%,-18.43%,0.33%,-10.62%,1.97%,1.89%,1.70,717.44K,0.47,96.53,0.26%,"172,375"
197,BMRC,2.66%,4.17%,3.46%,-16.10%,4.57%,-10.82%,2.42%,2.24%,2.80,44.77K,0.41,32.88,-0.96%,"9,382"
198,BMRN,-2.00%,19.29%,6.05%,-4.58%,9.29%,-2.56%,2.18%,3.36%,1.70,1.20M,0.40,84.90,-1.38%,"245,591"
199,BMY,-2.49%,0.72%,-4.70%,12.64%,10.22%,17.31%,1.84%,1.83%,2.20,13.74M,0.78,72.92,-0.30%,"5,545,538"
200,BNO,8.21%,-7.69%,-0.22%,38.76%,82.26%,53.75%,2.96%,3.39%,-,1.14M,0.18,32.09,-0.19%,"107,179"
201,BOAC,0.00%,0.40%,0.30%,1.33%,1.43%,1.43%,0.12%,0.22%,-,137.90K,0.00,9.94,0.10%,339
202,BOAS,0.00%,-0.20%,-0.81%,-0.41%,1.34%,-0.20%,0.04%,0.28%,-,47.67K,0.08,9.81,0.00%,"1,923"
203,BOIL,38.05%,-13.75%,-35.67%,108.12%,80.38%,160.44%,10.61%,14.62%,-,2.43M,0.88,70.56,3.84%,"1,096,788"
204,BORR,-24.80%,-48.07%,-39.61%,28.18%,90.54%,36.89%,11.01%,9.89%,3.00,1.96M,0.77,2.78,-1.42%,"775,790"
205,BOWL,2.94%,20.44%,-4.47%,31.55%,16.90%,28.05%,4.04%,5.38%,2.00,790.35K,0.45,11.47,-0.69%,"183,150"
206,BOX,4.99%,20.66%,-13.68%,5.73%,18.98%,4.35%,3.42%,3.94%,2.20,1.78M,0.40,27.84,1.87%,"365,023"
207,BP,4.39%,-5.14%,-10.21%,-12.42%,21.52%,5.37%,2.33%,2.77%,2.20,12.96M,0.76,28.06,0.00%,"5,075,166"
208,BPOP,4.85%,6.51%,-1.13%,-19.05%,15.29%,-2.85%,2.34%,2.64%,2.00,561.44K,0.32,79.06,-0.80%,"93,377"
209,BPT,-8.89%,-15.85%,9.57%,233.08%,358.64%,345.80%,10.89%,11.13%,-,646.81K,1.19,17.40,-0.68%,"395,573"
210,BRDG,2.83%,4.09%,-19.38%,-31.09%,0.79%,-38.85%,3.74%,3.72%,2.20,170.48K,0.24,15.50,1.51%,"21,097"
211,BREZ,0.19%,0.39%,-0.48%,0.59%,2.69%,0.78%,0.13%,0.12%,-,122.93K,0.28,10.28,-0.05%,"17,570"
212,BRG,0.08%,1.35%,-1.24%,-1.17%,137.29%,-0.64%,0.92%,1.13%,3.00,373.02K,0.54,26.21,-0.04%,"103,612"
213,BRK-A,2.08%,5.23%,-18.17%,-12.42%,3.57%,-5.67%,1.99%,2.04%,2.50,2.43K,1.31,428870.56,0.88%,"1,632"
214,BRK-B,2.26%,5.58%,-18.20%,-12.52%,3.99%,-5.17%,1.88%,1.96%,2.80,4.46M,0.87,285.55,0.70%,"2,004,887"
215,BRLI,0.00%,0.77%,2.25%,4.18%,2.15%,2.65%,0.25%,0.15%,3.00,1.86K,1.22,10.51,0.38%,"1,166"
216,BRN,10.92%,-1.93%,-9.29%,-10.25%,20.38%,-12.71%,6.16%,6.26%,-,232.59K,0.06,2.53,-0.41%,"7,670"
217,BRO,3.07%,14.21%,-12.97%,-9.25%,15.53%,-13.42%,2.14%,2.22%,2.60,1.84M,0.30,60.94,0.15%,"280,727"
218,BRPM,36.69%,32.45%,31.38%,29.55%,32.88%,28.66%,19.85%,5.84%,-,190.50K,0.00,13.02,0.00%,0
219,BRT,5.70%,8.26%,0.83%,8.42%,33.81%,-3.33%,2.31%,2.77%,2.00,62.08K,0.40,23.27,0.34%,"12,929"
220,BRX,4.62%,10.13%,-16.90%,-18.82%,0.56%,-15.27%,2.36%,2.71%,2.40,2.27M,0.93,21.89,1.67%,"1,086,133"
221,BRY,6.02%,-19.30%,-37.21%,-19.23%,38.50%,-8.87%,4.50%,6.58%,2.60,938.87K,0.30,7.71,1.85%,"145,599"
222,BSBK,-0.22%,0.00%,2.87%,9.03%,10.44%,9.14%,0.57%,0.60%,3.00,10.59K,0.03,11.05,-0.54%,170
223,BSET,0.44%,43.61%,33.86%,59.26%,6.01%,46.53%,4.02%,5.97%,2.00,107.12K,0.43,22.31,-2.03%,"23,560"
224,BSM,7.68%,-0.07%,-7.55%,23.40%,45.90%,39.88%,3.24%,4.33%,2.10,751.07K,0.25,14.47,0.14%,"95,295"
225,BSVN,2.21%,1.61%,1.43%,-13.77%,25.06%,-2.67%,3.25%,3.57%,2.30,18.42K,5.83,22.03,-1.59%,"55,279"
226,BTAL,-2.13%,-5.06%,7.44%,12.56%,16.74%,16.09%,1.81%,2.10%,-,270.68K,0.85,20.12,-2.53%,"118,058"
227,BTI,4.15%,-0.75%,-1.24%,-0.64%,12.00%,12.75%,1.19%,1.55%,1.00,2.94M,2.27,41.43,-1.78%,"3,438,174"
228,BTU,5.50%,-3.86%,-32.33%,61.16%,144.19%,115.09%,7.23%,8.03%,2.60,6.91M,0.58,21.79,0.60%,"2,070,138"
229,BTWN,-0.20%,0.30%,0.30%,1.22%,0.81%,1.12%,0.15%,0.19%,-,209.28K,1.78,9.94,0.05%,"191,903"
230,BUR,4.03%,20.23%,17.04%,6.33%,4.65%,0.19%,2.35%,3.14%,-,261.92K,0.86,10.90,3.02%,"116,674"
231,BUSE,2.98%,9.25%,0.29%,-18.01%,5.90%,-10.69%,2.27%,2.35%,2.00,196.68K,0.26,24.24,0.08%,"26,835"
232,BVH,8.71%,5.94%,-0.86%,-18.37%,65.50%,-24.27%,3.60%,3.97%,2.00,69.33K,0.30,26.31,-1.02%,"10,728"
233,BW,14.24%,16.95%,-11.88%,-13.64%,2.37%,-23.50%,5.80%,5.44%,2.50,444.91K,0.34,7.00,1.45%,"77,286"
234,BWAC,0.00%,0.19%,0.49%,1.37%,3.20%,1.57%,0.06%,0.10%,-,108.99K,0.00,10.33,0.00%,0
235,BWB,4.03%,8.97%,3.27%,-7.66%,5.81%,-5.26%,2.85%,2.92%,2.00,49.83K,0.45,16.66,-0.60%,"11,450"
236,BWFG,1.33%,1.65%,-3.23%,-6.01%,17.17%,-2.31%,1.86%,2.75%,2.00,59.07K,0.22,31.76,-1.00%,"6,651"
237,BXC,6.43%,22.63%,16.84%,-7.28%,103.16%,-20.68%,4.83%,5.57%,2.00,187.11K,0.42,76.83,1.15%,"40,635"
238,BY,1.21%,3.64%,-1.27%,-16.37%,9.61%,-11.63%,1.88%,1.88%,2.60,115.29K,0.64,23.97,-0.83%,"38,261"
239,BYD,9.17%,8.74%,-13.71%,-10.20%,5.54%,-16.88%,3.21%,4.13%,2.00,1.13M,0.37,55.26,1.39%,"215,826"
240,BZQ,-1.28%,13.69%,68.93%,-3.93%,19.99%,-11.80%,4.84%,4.83%,-,118.86K,1.37,32.60,0.93%,"83,886"
241,CAAP,-2.40%,-7.19%,-21.16%,-9.11%,3.93%,-8.32%,4.04%,4.34%,2.30,62.75K,1.82,5.29,0.00%,"58,996"
242,CAC,-0.58%,0.95%,-5.25%,-12.22%,0.93%,-7.37%,2.82%,2.34%,2.50,39.44K,0.16,44.52,-0.20%,"3,159"
243,CACC,8.33%,17.59%,-8.45%,-6.12%,18.65%,-21.23%,3.75%,4.77%,3.20,81.92K,0.61,545.16,0.64%,"25,799"
244,CACI,0.14%,8.60%,-2.19%,2.33%,9.07%,5.75%,1.65%,2.41%,2.20,143.47K,0.49,283.94,-0.27%,"36,223"
245,CAL,4.93%,6.02%,25.03%,19.52%,23.58%,22.00%,3.61%,4.75%,2.00,758.18K,0.37,27.90,0.83%,"144,978"
246,CALM,-0.34%,11.53%,-2.98%,27.23%,50.42%,41.47%,3.04%,3.20%,2.70,671.80K,1.61,52.75,0.80%,"558,354"
247,CALX,8.53%,31.16%,9.28%,-22.50%,0.26%,-46.99%,5.17%,4.87%,2.00,557.40K,0.90,44.15,4.16%,"259,659"
248,CANE,0.86%,-0.64%,-7.61%,3.77%,12.92%,1.63%,1.23%,1.15%,-,120.08K,0.24,9.26,-1.02%,"14,852"
249,CAPL,1.59%,3.65%,-10.04%,-4.76%,11.15%,7.19%,2.87%,2.91%,3.00,46.84K,0.43,20.54,0.54%,"10,382"
250,CAPR,5.73%,16.41%,41.41%,49.19%,1.10%,57.34%,9.29%,7.85%,2.00,115.28K,1.63,4.80,4.12%,"96,840"
251,CAR,5.04%,-0.06%,-39.83%,-17.91%,133.24%,-22.68%,4.44%,5.72%,3.00,1.04M,0.46,159.41,-0.57%,"244,550"
252,CARE,2.59%,9.26%,-17.08%,-12.40%,32.99%,-7.28%,5.38%,3.64%,2.20,68.15K,0.19,14.26,-0.07%,"6,755"
253,CASY,2.64%,8.20%,-4.59%,4.05%,3.07%,0.79%,2.52%,2.53%,2.20,307.38K,0.59,199.00,0.05%,"93,053"
254,CATC,1.34%,3.61%,4.63%,-10.24%,0.11%,-11.32%,1.64%,1.64%,1.70,12.76K,0.31,83.00,0.00%,"2,051"
255,CATY,3.16%,8.46%,-4.09%,-13.07%,13.88%,-5.14%,2.43%,2.38%,2.60,304.28K,0.36,40.84,0.15%,"56,907"
256,CB,-3.22%,-1.83%,-12.36%,-5.37%,15.50%,-3.93%,2.15%,2.25%,-,1.87M,0.70,185.55,-0.09%,"673,555"
257,CBFV,-0.04%,9.36%,1.94%,-4.58%,4.71%,-3.86%,3.60%,3.55%,3.00,6.60K,0.23,23.16,0.09%,766
258,CBNK,1.69%,-0.28%,-0.60%,-19.03%,10.93%,-17.52%,2.22%,1.97%,1.70,19.50K,0.40,21.89,1.27%,"4,065"
259,CBOE,1.45%,11.93%,4.74%,3.13%,5.45%,-6.55%,1.90%,2.24%,2.40,621.84K,0.55,121.53,-0.27%,"175,414"
260,CBT,3.17%,10.42%,-0.01%,10.40%,30.14%,19.95%,3.47%,3.61%,2.00,420.97K,0.58,67.71,0.45%,"125,649"
261,CBTX,4.93%,6.08%,0.87%,-8.67%,8.75%,-0.14%,2.26%,2.35%,3.00,75.85K,0.55,29.09,0.45%,"21,473"
262,CBZ,2.55%,11.38%,-1.59%,1.62%,33.66%,6.08%,2.27%,2.38%,1.30,248.30K,0.24,41.45,-0.12%,"30,209"
263,CC,6.85%,7.01%,0.44%,-6.33%,9.68%,0.92%,3.76%,4.80%,2.20,1.80M,0.55,33.53,-1.00%,"511,037"
264,CCB,3.85%,7.15%,-9.02%,-24.31%,43.35%,-22.13%,3.00%,3.25%,1.50,40.60K,0.27,39.63,0.53%,"5,739"
265,CCBG,13.78%,21.78%,27.98%,13.74%,32.91%,20.08%,2.95%,2.73%,2.40,27.57K,0.72,31.80,0.32%,"10,162"
266,CCJ,10.91%,11.33%,-22.61%,5.01%,43.95%,8.57%,5.05%,4.98%,1.60,6.90M,0.71,23.85,0.74%,"2,517,792"
267,CCNE,2.44%,4.56%,-1.12%,-11.64%,9.76%,-6.64%,3.32%,2.79%,2.00,24.26K,1.11,24.63,-0.44%,"13,867"
268,CCOR,1.21%,2.75%,1.06%,-1.20%,2.96%,-1.67%,1.32%,1.41%,-,104.97K,0.44,30.74,0.32%,"23,852"
269,CCRN,19.41%,61.47%,42.03%,26.22%,87.31%,3.71%,7.81%,5.66%,2.30,491.05K,1.15,29.08,1.01%,"291,856"
270,CCXI,3.98%,-1.47%,13.77%,-27.57%,50.61%,-35.35%,4.61%,6.46%,1.60,1.41M,0.62,24.28,3.16%,"449,894"
271,CDC,0.07%,4.85%,-7.66%,-6.85%,5.03%,-4.10%,0.40%,0.96%,-,261.80K,0.57,66.70,-0.07%,"76,406"
272,CDEV,12.84%,-22.29%,-32.25%,-17.79%,18.86%,4.35%,6.44%,7.54%,2.80,10.64M,0.70,6.45,3.37%,"3,827,303"
273,CDL,0.72%,4.44%,-7.83%,-7.11%,4.79%,-4.52%,1.14%,1.24%,-,14.98K,0.62,58.46,0.17%,"4,753"
274,CDNS,4.77%,14.53%,7.28%,-0.11%,17.33%,-13.29%,3.37%,3.29%,2.20,1.61M,0.50,165.38,2.35%,"416,581"
275,CDR,0.17%,14.21%,2.01%,18.90%,83.05%,15.25%,0.72%,1.44%,2.70,342.63K,0.31,28.97,0.10%,"54,702"
276,CEIX,9.56%,14.98%,16.62%,120.87%,223.82%,148.39%,8.56%,8.77%,2.00,832.96K,0.59,56.62,0.38%,"251,915"
277,CELH,4.22%,39.77%,42.09%,52.78%,20.88%,1.09%,7.58%,7.52%,1.70,1.09M,1.10,79.75,5.79%,"619,831"
278,CEM,7.59%,1.91%,-16.71%,0.30%,21.74%,13.19%,3.03%,4.12%,-,70.20K,0.80,30.88,1.38%,"28,796"
279,CEN,4.15%,4.92%,-10.57%,4.42%,39.27%,21.27%,1.34%,2.20%,-,18.82K,0.69,16.48,0.39%,"6,725"
280,CEPU,-0.95%,-0.32%,-22.77%,-7.69%,32.77%,-0.32%,4.86%,5.56%,2.70,135.04K,0.46,3.06,-1.92%,"32,183"
281,CEQP,9.01%,4.56%,-15.98%,-11.24%,0.50%,-5.29%,3.08%,4.08%,1.90,583.00K,0.34,26.28,0.57%,"101,085"
282,CERE,2.99%,20.35%,-12.51%,-0.04%,28.85%,-14.99%,7.39%,8.25%,1.90,496.31K,0.91,29.31,6.33%,"232,243"
283,CERS,-0.18%,26.64%,20.65%,-3.94%,13.79%,-17.62%,4.72%,5.61%,1.40,2.19M,0.84,5.77,2.85%,"949,421"
284,CF,1.76%,-4.08%,-21.01%,30.81%,89.06%,22.79%,5.34%,4.79%,2.40,3.50M,0.49,85.17,-2.01%,"879,875"
285,CFB,-1.35%,0.15%,-9.64%,-17.79%,0.38%,-15.95%,2.40%,2.28%,2.40,110.79K,0.48,12.89,-1.73%,"27,251"
286,CFBK,-0.12%,-1.18%,-7.82%,2.77%,6.61%,0.22%,0.17%,0.44%,3.00,3.46K,0.05,20.52,-0.27%,95
287,CFIV,0.10%,0.41%,0.30%,0.92%,1.23%,0.71%,0.23%,0.21%,-,89.72K,0.00,9.87,0.00%,0
288,CFR,4.88%,5.00%,-12.53%,-14.11%,21.88%,-2.53%,2.44%,2.45%,3.10,372.63K,0.27,123.20,0.26%,"52,499"
289,CFVI,-0.30%,0.10%,-9.68%,-18.05%,3.28%,-6.93%,0.92%,0.83%,-,682.04K,0.86,10.05,-0.28%,"302,474"
290,CFVIU,-0.76%,-8.47%,-18.97%,-17.81%,3.80%,-9.03%,0.39%,0.82%,-,3.01K,0.16,10.42,0.39%,241
291,CGBD,0.54%,7.45%,-11.06%,-6.71%,2.50%,-3.93%,2.01%,2.43%,2.00,274.86K,0.65,13.17,1.00%,"92,623"
292,CHAD,0.56%,-1.48%,-1.61%,9.59%,10.18%,14.20%,0.88%,0.77%,-,52.84K,0.05,18.74,0.65%,"1,328"
293,CHCO,1.14%,5.15%,8.10%,-3.29%,13.38%,0.51%,2.08%,2.01%,3.00,82.49K,0.39,81.79,-0.52%,"16,383"
294,CHD,-0.63%,14.46%,-7.03%,-9.72%,7.52%,-8.20%,1.64%,1.97%,2.90,1.48M,0.46,93.42,-0.71%,"348,382"
295,CHDN,6.08%,21.05%,0.27%,-1.15%,18.61%,-12.71%,3.12%,3.70%,1.70,205.27K,0.45,214.11,1.82%,"48,101"
296,CHE,-0.73%,14.24%,1.87%,2.97%,6.95%,-5.50%,1.88%,2.05%,1.50,69.02K,0.16,501.51,0.32%,"5,721"
297,CHEF,0.05%,20.40%,16.21%,18.42%,45.80%,16.25%,4.93%,5.45%,1.90,410.29K,0.62,39.42,1.82%,"131,593"
298,CHH,5.11%,0.12%,-17.32%,-23.02%,4.08%,-24.86%,2.51%,2.96%,2.90,291.20K,0.36,118.33,0.96%,"54,712"
299,CHK,12.62%,5.07%,-4.69%,28.63%,88.13%,42.58%,5.34%,5.85%,1.70,2.43M,0.50,89.88,1.41%,"630,230"
300,CHKP,0.91%,5.23%,-12.90%,-1.89%,2.37%,6.17%,1.94%,2.28%,2.90,1.08M,0.65,127.12,2.72%,"359,284"
301,CHMG,-1.55%,5.63%,-3.40%,-0.79%,0.85%,-2.60%,2.35%,3.56%,2.30,7.24K,0.25,45.80,1.23%,917
302,CHNG,3.35%,5.84%,0.89%,15.45%,6.26%,11.13%,1.72%,1.80%,2.30,2.64M,0.55,23.57,-0.80%,"755,638"
303,CHRD,9.50%,-14.41%,-14.02%,-2.84%,63.79%,7.11%,5.69%,7.06%,2.00,541.86K,0.41,114.34,0.43%,"113,265"
304,CHRW,4.15%,-0.16%,-1.77%,-6.80%,8.38%,-6.23%,2.64%,2.79%,2.50,1.25M,0.53,101.19,0.26%,"340,813"
305,CHT,-1.88%,-2.23%,-8.11%,-4.40%,0.57%,-3.34%,0.71%,1.01%,-,158.04K,1.05,40.23,-1.40%,"85,098"
306,CI,-1.70%,10.59%,6.04%,13.39%,20.63%,19.58%,2.45%,2.71%,2.20,1.83M,0.74,267.64,-2.53%,"697,310"
307,CIG,2.07%,-8.37%,-23.78%,8.98%,21.64%,5.39%,3.25%,3.22%,2.00,6.55M,0.49,1.98,0.25%,"1,665,301"
308,CIGI,4.49%,22.20%,-1.88%,-13.83%,7.82%,-19.58%,3.36%,3.25%,1.90,90.27K,0.31,120.22,0.56%,"14,597"
309,CIO,4.85%,18.27%,-16.35%,-33.00%,10.93%,-32.05%,2.61%,3.54%,2.30,319.20K,0.72,13.41,0.07%,"117,973"
310,CIVI,9.96%,-20.67%,-18.18%,-5.25%,43.98%,10.34%,4.35%,5.95%,1.80,881.96K,0.52,53.91,2.35%,"235,178"
311,CIX,-1.55%,-0.04%,0.09%,-0.76%,7.06%,-0.80%,1.89%,3.30%,-,7.52K,0.97,22.86,2.56%,"3,753"
312,CKX,0.27%,-3.06%,2.97%,-2.63%,21.98%,-0.89%,0.18%,0.67%,-,3.52K,0.45,11.04,-0.54%,813
313,CLAS,0.10%,0.36%,0.72%,1.44%,1.13%,1.44%,0.09%,0.13%,-,76.70K,0.00,9.85,0.00%,0
314,CLBK,1.62%,6.04%,1.48%,4.83%,26.89%,5.18%,1.79%,1.85%,2.50,169.88K,0.22,21.76,-0.82%,"19,596"
315,CLDS,-5.63%,-18.91%,15.91%,34.24%,85.31%,67.20%,5.25%,6.55%,-,14.32K,0.93,31.30,-8.52%,"6,884"
316,CLDT,7.74%,11.39%,-13.27%,-14.46%,3.05%,-13.78%,2.89%,4.20%,1.70,318.00K,0.41,11.91,0.68%,"66,702"
317,CLFD,12.36%,48.22%,33.82%,15.54%,131.96%,-7.15%,6.07%,5.82%,2.00,151.72K,0.94,78.36,-0.03%,"73,696"
318,CLH,5.39%,8.70%,-16.28%,-6.69%,0.50%,-9.72%,2.64%,2.52%,1.80,355.42K,0.22,90.72,0.72%,"40,481"
319,CLMT,3.51%,-7.89%,-20.26%,-31.06%,56.55%,-19.47%,5.91%,9.14%,2.30,135.59K,0.46,11.10,4.40%,"32,032"
320,CLPR,6.66%,16.42%,-4.84%,-13.41%,7.72%,-12.98%,2.53%,3.25%,2.50,67.33K,0.41,8.61,-0.42%,"14,256"
321,CLR,5.21%,-4.69%,1.08%,26.70%,106.87%,47.99%,3.42%,4.15%,2.80,1.91M,0.31,66.26,0.03%,"308,230"
322,CLS,3.81%,5.32%,-8.44%,-12.87%,42.51%,-9.34%,2.86%,3.49%,3.00,466.92K,0.47,10.22,1.29%,"113,722"
323,CLW,5.77%,14.28%,34.87%,-1.88%,26.60%,-2.02%,4.26%,4.00%,2.70,115.07K,0.31,35.97,0.11%,"18,427"
324,CMA,6.17%,5.65%,-11.72%,-23.03%,22.65%,-10.44%,2.86%,2.90%,2.30,1.40M,1.82,78.88,1.23%,"1,313,086"
325,CMC,5.83%,0.79%,-18.14%,-5.75%,20.82%,-1.52%,3.43%,4.10%,2.40,1.19M,0.41,35.63,-0.31%,"251,387"
326,CMDY,3.21%,-11.63%,-14.44%,9.87%,6.02%,15.04%,1.79%,1.91%,-,78.83K,0.26,57.03,0.19%,"10,457"
327,CME,0.32%,0.27%,-13.72%,-8.68%,0.26%,-10.79%,1.85%,2.24%,2.60,1.59M,0.60,204.98,0.57%,"493,069"
328,CMRE,9.40%,-2.08%,-26.24%,-9.33%,21.31%,-4.10%,3.38%,4.12%,1.00,969.57K,0.94,11.44,-2.60%,"471,431"
329,CMS,-1.44%,5.63%,-9.07%,1.90%,5.71%,-0.14%,1.65%,2.13%,2.60,1.90M,0.55,64.62,-0.52%,"538,656"
330,CNA,-2.63%,2.29%,-12.28%,-4.91%,4.35%,1.44%,2.17%,2.10%,3.00,149.43K,0.27,42.72,-0.35%,"20,749"
331,CNC,5.11%,19.19%,7.62%,13.41%,27.99%,10.86%,2.30%,2.81%,2.00,2.95M,0.92,89.80,-1.70%,"1,402,710"
332,CNCE,0.62%,18.29%,55.45%,53.97%,43.92%,53.97%,5.01%,7.25%,1.80,843.32K,0.41,5.03,3.81%,"180,261"
333,CNI,4.28%,6.61%,-8.61%,-6.53%,13.75%,-6.05%,2.13%,2.30%,2.50,1.51M,0.35,115.33,-0.09%,"271,161"
334,CNK,20.32%,30.67%,11.22%,8.34%,24.70%,16.81%,4.24%,4.62%,2.40,2.28M,1.83,19.08,1.33%,"2,144,191"
335,CNOB,1.73%,-1.16%,-19.69%,-33.16%,1.10%,-24.46%,3.31%,2.76%,1.70,155.76K,0.25,24.52,-0.77%,"20,129"
336,CNP,1.05%,8.42%,-7.84%,7.75%,19.62%,6.59%,1.90%,2.26%,1.90,4.78M,0.38,29.55,-0.67%,"934,316"
337,CNQ,4.40%,-10.16%,-25.54%,-3.68%,62.86%,18.41%,3.30%,4.43%,2.10,3.08M,0.78,50.75,1.44%,"1,238,225"
338,CNR,0.00%,2.63%,0.74%,50.31%,57.94%,40.83%,0.13%,0.43%,2.50,1.64M,2.87,24.64,0.31%,"2,428,460"
339,CNVY,0.00%,163.22%,62.02%,37.50%,32.78%,25.00%,0.42%,1.12%,1.80,381.78K,0.40,10.42,-0.29%,"79,230"
340,CNX,11.01%,-6.61%,-20.65%,13.68%,44.41%,30.55%,5.07%,5.13%,2.80,3.52M,0.58,18.02,0.42%,"1,054,651"
341,CNXN,5.20%,4.55%,-12.02%,11.21%,9.29%,6.07%,2.89%,2.52%,2.00,53.65K,0.46,46.03,0.61%,"12,637"
342,COGT,2.72%,45.00%,40.32%,39.11%,81.54%,31.82%,8.30%,8.98%,1.40,2.95M,0.21,11.56,2.21%,"317,350"
343,COKE,-11.12%,-5.17%,6.51%,-17.80%,24.82%,-18.28%,7.12%,5.30%,-,63.33K,1.34,492.99,-2.58%,"43,626"
344,COLI,0.10%,0.20%,0.10%,0.82%,1.03%,0.62%,0.19%,0.20%,-,32.16K,0.18,9.83,0.20%,"2,983"
345,COM,0.61%,-10.14%,-12.41%,2.45%,2.52%,4.49%,0.57%,0.87%,-,136.32K,0.18,30.48,-0.03%,"12,622"
346,COMB,4.06%,-10.77%,-13.92%,12.19%,9.18%,16.96%,1.32%,1.87%,-,113.51K,0.29,30.06,0.20%,"16,735"
347,COMT,4.47%,-11.15%,-7.76%,21.60%,21.19%,28.53%,1.97%,2.36%,-,1.22M,0.32,39.68,-0.03%,"204,554"
348,CONX,0.15%,0.15%,0.25%,1.17%,1.17%,0.97%,0.14%,0.15%,-,257.16K,0.03,9.92,0.05%,"4,200"
349,COOL,0.09%,0.10%,0.51%,0.82%,1.86%,0.82%,0.09%,0.14%,2.00,146.26K,0.01,9.89,0.10%,"1,120"
350,COOP,4.20%,8.50%,-11.34%,-10.22%,22.21%,-3.99%,3.02%,3.66%,2.20,829.41K,0.33,40.23,0.70%,"140,812"
351,COP,6.03%,-12.94%,-13.82%,3.10%,67.00%,23.90%,3.41%,4.56%,2.00,8.43M,0.66,90.00,1.72%,"2,850,115"
352,CORN,1.78%,-17.25%,-19.33%,10.31%,18.33%,11.79%,2.43%,2.90%,-,416.19K,0.27,23.96,-0.50%,"56,944"
353,CORT,6.06%,36.49%,19.65%,50.84%,35.43%,40.56%,3.45%,4.64%,2.20,855.46K,0.44,27.86,0.11%,"194,429"
354,COST,6.05%,15.16%,-10.63%,3.43%,25.61%,-8.36%,2.54%,2.43%,2.10,2.99M,0.53,525.60,1.03%,"818,134"
355,COW,0.46%,2.05%,-4.51%,2.07%,1.80%,1.49%,1.20%,1.95%,-,11.83K,0.23,38.61,0.98%,"1,408"
356,COWZ,3.12%,3.04%,-11.28%,-7.71%,6.76%,-5.12%,1.81%,1.97%,-,1.90M,0.46,44.81,0.28%,"450,259"
357,CP,4.73%,9.26%,-2.99%,-4.58%,4.32%,2.79%,2.36%,2.76%,2.30,2.51M,0.82,73.48,-0.64%,"1,062,569"
358,CPB,-0.96%,7.17%,6.49%,4.40%,5.47%,11.41%,1.78%,1.98%,3.20,2.71M,0.31,48.03,-0.80%,"431,932"
359,CPE,17.97%,-17.00%,-32.01%,-25.84%,8.92%,-10.54%,6.14%,7.21%,2.70,2.14M,0.47,42.92,1.54%,"517,716"
360,CPG,11.03%,-14.14%,-7.08%,10.86%,131.13%,37.64%,5.54%,7.22%,2.00,13.75M,0.81,7.40,0.67%,"5,761,053"
361,CPHC,-4.97%,12.56%,14.23%,34.73%,68.60%,36.11%,4.70%,6.90%,-,13.86K,0.09,24.00,2.04%,614
362,CPK,2.57%,6.46%,-5.49%,-5.78%,7.41%,-12.17%,2.27%,2.69%,2.10,69.02K,0.63,126.34,-1.34%,"22,554"
363,CPLP,3.71%,-9.33%,-18.50%,-13.84%,24.77%,-14.96%,3.55%,4.42%,1.30,109.90K,0.75,13.95,1.83%,"42,267"
